二码,历史最大遗漏值,当前遗漏值,超过当前遗漏次数,超过最大遗漏次数,上次较大遗漏期数和值,出现次数,遗漏序列
04,133,8,244,0,8196至8313(117期),389,"[42, 1, 4, 4, 15, 3, 8, 4, 4, 4, 50, 27, 3, 16, 22, 1, 7, 11, 6, 53, 12, 13, 3, 17, 8, 18, 14, 7, 22, 27, 16, 22, 5, 26, 14, 6, 33, 29, 100, 22, 30, 1, 3, 12, 50, 16, 38, 29, 13, 79, 18, 2, 18, 23, 10, 30, 26, 14, 33, 1, 4, 48, 13, 17, 6, 14, 5, 10, 14, 21, 8, 6, 117, 7, 17, 5, 45, 24, 15, 21, 29, 45, 31, 53, 33, 9, 18, 2, 3, 4, 25, 16, 39, 3, 18, 8, 5, 21, 9, 16, 3, 21, 34, 4, 5, 11, 15, 17, 133, 11, 28, 40, 20, 14, 10, 23, 17, 20, 30, 13, 3, 33, 12, 16, 43, 6, 15, 5, 8, 6, 8, 10, 8, 36, 1, 10, 1, 10, 6, 30, 38, 23, 36, 39, 3, 1, 42, 1, 11, 1, 5, 19, 86, 13, 44, 72, 8, 1, 5, 32, 3, 31, 13, 10, 38, 4, 1, 17, 13, 11, 44, 20, 15, 7, 32, 24, 19, 24, 61, 21, 4, 5, 1, 13, 24, 28, 10, 17, 10, 19, 3, 3, 2, 81, 1, 2, 13, 9, 45, 10, 21, 15, 24, 24, 7, 15, 9, 5, 30, 3, 12, 4, 3, 10, 1, 16, 14, 44, 4, 73, 2, 14, 18, 13, 27, 47, 37, 17, 48, 16, 59, 41, 34, 3, 45, 8, 66, 41, 18, 4, 55, 15, 20, 68, 5, 3, 1, 27, 68, 33, 10, 53, 29, 43, 7, 1, 29, 2, 2, 11, 19, 22, 42, 23, 12, 13, 79, 19, 2, 3, 17, 19, 55, 46, 4, 2, 43, 31, 5, 1, 6, 1, 6, 19, 9, 2, 10, 36, 4, 22, 7, 13, 14, 7, 3, 10, 15, 12, 3, 1, 4, 21, 65, 7, 43, 4, 3, 25, 5, 3, 10, 45, 27, 3, 5, 12, 35, 23, 40, 10, 7, 15, 5, 10, 44, 29, 3, 16, 6, 11, 111, 8, 17, 12, 15, 3, 11, 33, 24, 20, 5, 1, 48, 36, 33, 14, 7, 20, 14, 34, 45, 14, 42, 28, 4, 32, 51, 23, 16, 5, 7, 1, 17, 17, 28, 20]"
45,132,3,345,0,17192至17295(103期),436,"[4, 10, 21, 6, 5, 11, 10, 11, 2, 33, 25, 15, 3, 2, 4, 8, 5, 12, 37, 6, 1, 55, 11, 2, 2, 23, 1, 45, 28, 4, 1, 6, 4, 14, 6, 9, 4, 14, 34, 28, 9, 2, 4, 19, 15, 13, 51, 1, 28, 18, 20, 6, 2, 1, 4, 28, 26, 25, 2, 1, 1, 13, 8, 32, 21, 62, 10, 13, 2, 12, 5, 75, 6, 13, 2, 19, 8, 19, 30, 7, 3, 1, 15, 25, 40, 7, 58, 7, 14, 8, 7, 14, 50, 7, 14, 9, 2, 4, 50, 45, 18, 20, 7, 12, 3, 22, 7, 2, 29, 5, 18, 3, 1, 33, 14, 20, 8, 2, 18, 56, 6, 47, 30, 4, 2, 3, 2, 29, 41, 11, 15, 3, 16, 10, 40, 28, 48, 57, 28, 4, 2, 32, 33, 7, 29, 11, 36, 86, 42, 30, 2, 8, 5, 12, 13, 17, 15, 18, 3, 16, 33, 5, 19, 7, 20, 28, 4, 10, 2, 2, 21, 13, 35, 4, 23, 4, 26, 14, 29, 15, 6, 32, 20, 3, 9, 4, 21, 8, 13, 1, 63, 20, 13, 39, 16, 1, 5, 11, 19, 15, 6, 8, 13, 12, 16, 8, 31, 5, 5, 15, 7, 49, 4, 30, 18, 6, 3, 35, 23, 18, 16, 20, 24, 1, 4, 6, 34, 14, 26, 32, 1, 20, 28, 3, 7, 16, 14, 17, 5, 16, 2, 16, 12, 2, 13, 24, 52, 1, 6, 9, 1, 1, 65, 18, 3, 36, 6, 41, 26, 2, 45, 21, 13, 11, 4, 2, 17, 5, 33, 21, 56, 1, 11, 8, 15, 9, 103, 22, 4, 15, 12, 38, 2, 25, 6, 1, 64, 3, 16, 4, 1, 6, 12, 3, 10, 6, 12, 25, 9, 26, 10, 34, 20, 18, 4, 16, 5, 8, 14, 36, 46, 47, 42, 50, 59, 10, 36, 7, 4, 4, 14, 11, 8, 22, 32, 25, 9, 19, 7, 6, 58, 7, 24, 13, 12, 53, 39, 21, 5, 8, 5, 9, 31, 6, 11, 21, 9, 9, 27, 10, 84, 28, 36, 132, 66, 22, 32, 29, 5, 6, 20, 3, 9, 16, 16, 28, 45, 2, 4, 45, 8, 11, 12, 7, 24, 5, 16, 39, 84, 9, 6, 46, 44, 12, 7, 19, 10, 21, 27, 8, 15, 12, 3, 6, 6, 29, 26, 38, 16, 24, 3, 8, 8, 20]"
46,128,16,152,0,8105至8227(122期),421,"[10, 36, 5, 66, 52, 8, 23, 18, 7, 1, 34, 10, 21, 1, 21, 6, 24, 10, 8, 35, 6, 11, 11, 39, 39, 38, 3, 6, 4, 2, 33, 65, 34, 13, 4, 22, 26, 10, 26, 16, 41, 4, 10, 16, 2, 6, 6, 25, 15, 14, 4, 34, 42, 8, 7, 9, 4, 20, 2, 41, 6, 5, 4, 5, 2, 20, 1, 16, 3, 22, 2, 4, 16, 122, 14, 19, 14, 2, 17, 43, 42, 43, 10, 16, 33, 6, 5, 17, 24, 26, 33, 35, 9, 6, 36, 17, 2, 13, 42, 8, 9, 4, 8, 24, 9, 15, 40, 22, 36, 63, 12, 6, 6, 2, 59, 45, 39, 12, 20, 13, 16, 12, 4, 10, 10, 13, 1, 5, 28, 11, 3, 24, 3, 7, 13, 13, 23, 8, 44, 16, 2, 11, 31, 4, 27, 3, 42, 2, 12, 9, 2, 12, 2, 2, 4, 9, 19, 10, 5, 11, 17, 17, 9, 3, 26, 34, 1, 9, 11, 31, 11, 66, 55, 12, 11, 33, 8, 12, 7, 79, 14, 1, 7, 26, 7, 128, 10, 11, 4, 44, 3, 3, 14, 9, 1, 41, 8, 22, 7, 8, 11, 9, 13, 40, 11, 19, 18, 25, 1, 6, 18, 19, 20, 32, 9, 56, 31, 31, 22, 9, 7, 27, 17, 9, 24, 4, 36, 11, 8, 7, 5, 21, 16, 18, 18, 5, 2, 2, 17, 5, 5, 2, 14, 2, 5, 3, 39, 16, 67, 1, 4, 16, 29, 53, 25, 14, 72, 4, 13, 15, 8, 3, 5, 17, 9, 3, 6, 6, 28, 56, 45, 4, 6, 16, 10, 20, 9, 14, 10, 2, 18, 33, 13, 25, 13, 65, 1, 14, 36, 23, 44, 2, 8, 36, 16, 6, 36, 2, 31, 20, 7, 9, 7, 8, 14, 11, 2, 14, 26, 10, 17, 2, 28, 2, 25, 8, 2, 86, 29, 17, 6, 9, 19, 20, 31, 14, 3, 1, 1, 11, 5, 7, 4, 10, 4, 14, 3, 2, 2, 2, 22, 1, 4, 8, 9, 12, 1, 12, 4, 7, 3, 7, 1, 50, 6, 40, 17, 3, 7, 38, 13, 16, 48, 35, 115, 33, 30, 44, 25, 9, 9, 18, 28, 15, 4, 60, 8, 52, 9, 28, 4, 36, 7, 14, 100, 40, 18, 38, 51, 64, 21, 3, 17, 38, 7, 11, 6]"
01,128,12,193,0,14169至14273(104期),384,"[19, 9, 34, 5, 22, 4, 33, 1, 3, 13, 1, 26, 7, 12, 4, 82, 18, 43, 43, 5, 16, 31, 2, 21, 16, 12, 5, 13, 15, 5, 23, 1, 93, 6, 35, 2, 46, 49, 12, 3, 18, 2, 51, 45, 17, 14, 1, 21, 33, 23, 7, 2, 5, 5, 16, 18, 14, 60, 38, 29, 22, 44, 27, 10, 20, 22, 5, 25, 4, 16, 29, 20, 7, 35, 18, 5, 24, 17, 4, 32, 8, 77, 19, 23, 41, 3, 10, 8, 1, 65, 5, 14, 20, 11, 38, 1, 5, 12, 61, 6, 10, 69, 23, 32, 73, 12, 15, 3, 50, 8, 6, 6, 17, 31, 50, 23, 58, 19, 24, 52, 24, 15, 7, 1, 10, 11, 7, 6, 15, 8, 27, 5, 23, 8, 42, 18, 70, 4, 65, 51, 26, 21, 1, 21, 15, 30, 7, 9, 3, 2, 13, 10, 32, 10, 17, 10, 27, 64, 14, 9, 4, 19, 23, 26, 104, 3, 18, 6, 12, 41, 1, 42, 21, 41, 12, 2, 21, 29, 17, 6, 9, 9, 8, 5, 13, 2, 12, 14, 12, 15, 19, 53, 26, 36, 72, 1, 5, 1, 9, 28, 46, 7, 42, 11, 5, 28, 36, 28, 59, 19, 19, 8, 102, 16, 6, 28, 9, 4, 3, 1, 7, 15, 18, 31, 3, 8, 8, 1, 13, 5, 13, 3, 23, 6, 39, 9, 11, 2, 14, 37, 57, 6, 6, 20, 12, 32, 1, 29, 1, 1, 1, 10, 53, 21, 2, 9, 12, 6, 3, 9, 8, 10, 39, 9, 7, 6, 9, 78, 19, 9, 1, 13, 21, 13, 2, 9, 49, 8, 63, 4, 3, 15, 10, 11, 22, 26, 3, 55, 21, 12, 75, 6, 27, 48, 36, 9, 38, 19, 15, 14, 27, 8, 16, 49, 3, 17, 14, 1, 4, 34, 5, 3, 2, 3, 34, 5, 2, 26, 9, 12, 22, 29, 10, 9, 42, 18, 21, 2, 42, 11, 6, 5, 22, 41, 26, 67, 4, 17, 5, 8, 11, 24, 128, 2, 13, 30, 5, 23, 5, 14, 7, 27, 17, 4, 11, 14, 7, 1, 30, 12, 38, 58, 9, 2, 49]"
47,127,9,257,0,19095至19184(89期),433,"[9, 24, 7, 4, 14, 20, 10, 17, 40, 12, 10, 8, 53, 18, 11, 1, 42, 12, 13, 13, 5, 2, 60, 6, 2, 11, 28, 7, 22, 24, 5, 27, 23, 7, 4, 26, 20, 31, 6, 19, 15, 11, 28, 16, 3, 7, 10, 37, 11, 3, 3, 25, 37, 7, 35, 2, 6, 54, 1, 1, 3, 17, 2, 5, 15, 12, 2, 19, 43, 17, 4, 13, 15, 6, 15, 20, 2, 1, 38, 53, 35, 16, 5, 5, 33, 32, 3, 11, 12, 7, 5, 15, 14, 8, 28, 4, 14, 26, 3, 1, 29, 5, 2, 9, 25, 29, 4, 3, 17, 1, 4, 20, 26, 25, 5, 35, 1, 28, 57, 22, 2, 14, 3, 54, 1, 37, 14, 6, 35, 10, 38, 6, 10, 10, 12, 6, 8, 1, 16, 32, 33, 4, 5, 84, 7, 12, 4, 14, 24, 10, 15, 33, 10, 13, 5, 5, 49, 37, 20, 25, 1, 29, 48, 1, 4, 15, 5, 5, 6, 70, 6, 15, 41, 11, 20, 19, 6, 13, 13, 1, 1, 35, 28, 77, 9, 17, 13, 17, 12, 14, 57, 13, 4, 4, 21, 5, 3, 28, 3, 1, 1, 4, 13, 63, 3, 2, 25, 17, 6, 59, 10, 6, 29, 13, 20, 54, 27, 41, 22, 13, 14, 8, 8, 12, 3, 4, 15, 3, 5, 22, 11, 4, 1, 11, 38, 19, 17, 64, 11, 7, 1, 3, 4, 35, 10, 17, 14, 127, 33, 22, 5, 1, 28, 7, 21, 10, 32, 32, 3, 3, 1, 7, 11, 1, 17, 1, 12, 6, 1, 11, 1, 10, 2, 15, 5, 28, 10, 57, 25, 31, 20, 33, 1, 1, 12, 14, 4, 31, 3, 54, 9, 22, 31, 7, 12, 45, 9, 29, 15, 3, 3, 14, 11, 6, 39, 7, 24, 89, 3, 24, 17, 68, 4, 18, 10, 11, 1, 20, 14, 44, 40, 11, 47, 24, 18, 45, 26, 57, 5, 2, 13, 9, 7, 58, 38, 7, 24, 27, 24, 29, 5, 7, 16, 15, 46, 13, 19, 12, 8, 29, 5, 26, 5, 16, 42, 15, 5, 35, 49, 4, 6, 12, 11, 18, 20, 14, 10, 35, 5, 22, 16, 21, 37, 8, 6, 7, 35, 9, 10, 27, 15, 4, 29, 6, 55, 22, 3, 11, 25, 3, 6, 6, 12, 5, 40, 18, 27, 6, 10, 20, 58, 23, 15, 3, 3, 13, 12, 9, 22, 20, 10, 15]"
17,127,5,298,0,10023至10147(124期),404,"[1, 16, 3, 37, 30, 4, 17, 28, 9, 48, 7, 15, 56, 18, 6, 24, 4, 19, 12, 2, 2, 11, 30, 24, 11, 4, 16, 2, 56, 42, 4, 18, 11, 2, 11, 28, 7, 1, 16, 18, 35, 6, 28, 31, 21, 13, 21, 2, 53, 3, 20, 18, 5, 20, 53, 16, 37, 4, 55, 61, 127, 2, 37, 23, 1, 16, 6, 18, 17, 31, 18, 46, 6, 8, 7, 4, 4, 47, 4, 76, 9, 14, 25, 49, 55, 23, 10, 124, 18, 13, 16, 36, 20, 8, 2, 10, 2, 1, 7, 16, 24, 5, 10, 15, 46, 14, 12, 69, 59, 77, 9, 26, 7, 16, 6, 22, 11, 10, 24, 38, 13, 8, 4, 6, 6, 29, 17, 10, 11, 4, 57, 22, 101, 43, 11, 3, 11, 4, 16, 9, 20, 13, 27, 8, 50, 1, 8, 61, 36, 81, 1, 7, 16, 15, 5, 7, 7, 43, 14, 9, 51, 6, 23, 31, 7, 4, 47, 60, 16, 11, 13, 14, 24, 1, 39, 8, 9, 79, 21, 13, 9, 20, 3, 6, 90, 7, 34, 3, 18, 1, 30, 12, 58, 44, 29, 24, 4, 42, 16, 6, 11, 5, 8, 41, 11, 31, 4, 8, 7, 48, 9, 13, 19, 10, 14, 11, 19, 8, 24, 3, 5, 4, 3, 12, 3, 8, 4, 11, 47, 30, 17, 9, 12, 26, 38, 25, 9, 24, 20, 2, 7, 9, 4, 42, 6, 21, 5, 56, 38, 18, 46, 12, 11, 20, 30, 6, 4, 3, 27, 34, 20, 1, 67, 35, 1, 3, 3, 31, 4, 15, 1, 9, 12, 8, 10, 1, 37, 4, 15, 18, 2, 11, 7, 39, 3, 33, 42, 8, 10, 2, 3, 50, 29, 5, 17, 5, 64, 23, 27, 9, 8, 5, 7, 29, 10, 8, 12, 10, 9, 2, 37, 11, 12, 4, 20, 5, 6, 1, 30, 52, 22, 11, 12, 11, 2, 24, 13, 11, 7, 20, 26, 6, 4, 4, 27, 2, 12, 11, 38, 6, 16, 45, 28, 15, 2, 1, 13, 1, 5, 19, 6, 43, 2, 7, 2, 3, 17, 4, 1, 3, 13, 19, 7, 14, 1, 15, 3, 14, 15, 6, 8, 6, 12, 22, 32, 34, 9, 5, 28, 7, 48, 12, 7, 49, 5, 1, 1]"
37,126,1,365,0,25027至25104(77期),402,"[1, 4, 24, 2, 23, 53, 33, 62, 9, 6, 52, 13, 18, 21, 35, 22, 7, 37, 12, 58, 23, 2, 9, 17, 20, 19, 27, 1, 23, 8, 2, 20, 28, 3, 21, 54, 4, 9, 15, 8, 7, 16, 4, 31, 13, 32, 20, 68, 12, 10, 17, 4, 22, 69, 8, 4, 66, 3, 7, 7, 25, 3, 13, 19, 30, 11, 31, 9, 10, 21, 45, 3, 2, 1, 8, 17, 24, 2, 13, 18, 6, 24, 22, 6, 9, 5, 17, 5, 27, 6, 13, 13, 39, 1, 3, 9, 3, 3, 3, 10, 25, 5, 54, 11, 18, 17, 8, 12, 50, 1, 30, 13, 23, 4, 8, 7, 14, 57, 4, 65, 1, 9, 2, 6, 10, 13, 2, 19, 52, 20, 5, 3, 40, 4, 21, 2, 63, 14, 1, 28, 8, 1, 48, 18, 5, 7, 44, 40, 21, 11, 39, 56, 9, 25, 12, 75, 21, 10, 3, 4, 35, 46, 3, 2, 8, 2, 46, 8, 126, 19, 23, 7, 26, 60, 33, 3, 8, 5, 4, 21, 26, 43, 3, 15, 2, 22, 19, 17, 1, 1, 12, 49, 26, 7, 5, 43, 15, 31, 4, 44, 5, 20, 16, 7, 5, 35, 21, 16, 1, 3, 5, 7, 18, 6, 21, 6, 32, 8, 25, 6, 30, 5, 8, 4, 8, 12, 4, 7, 28, 39, 47, 9, 20, 11, 49, 53, 3, 20, 22, 2, 13, 11, 1, 32, 1, 9, 4, 27, 38, 17, 1, 22, 31, 2, 22, 46, 4, 38, 47, 5, 2, 14, 76, 7, 12, 41, 66, 9, 12, 22, 5, 39, 11, 2, 3, 12, 41, 15, 24, 7, 7, 22, 4, 11, 16, 5, 16, 53, 20, 16, 21, 18, 11, 9, 32, 7, 14, 26, 2, 2, 1, 22, 36, 2, 14, 75, 22, 10, 9, 20, 13, 16, 7, 50, 75, 42, 12, 14, 20, 16, 28, 11, 20, 6, 13, 23, 11, 6, 13, 44, 53, 1, 1, 1, 17, 4, 3, 18, 3, 65, 25, 28, 1, 9, 21, 4, 57, 7, 57, 1, 2, 18, 4, 22, 27, 20, 11, 21, 51, 26, 2, 1, 7, 14, 4, 38, 11, 30, 10, 29, 1, 12, 7, 5, 4, 41, 12, 22, 13, 18, 1, 32, 13, 8, 5, 1, 11, 77, 23]"
09,125,32,71,0,23138至23244(106期),398,"[19, 15, 40, 15, 10, 7, 20, 56, 4, 16, 56, 44, 35, 11, 12, 21, 8, 49, 4, 47, 10, 12, 16, 2, 19, 25, 74, 2, 18, 34, 6, 23, 68, 8, 43, 6, 11, 24, 11, 68, 9, 19, 20, 14, 9, 35, 20, 54, 22, 17, 29, 32, 105, 7, 29, 14, 48, 29, 15, 4, 3, 30, 8, 23, 15, 7, 2, 31, 25, 8, 3, 8, 11, 14, 21, 22, 51, 28, 10, 5, 11, 5, 38, 15, 2, 12, 42, 26, 4, 43, 15, 37, 9, 25, 27, 5, 3, 7, 1, 20, 8, 5, 9, 17, 7, 36, 2, 5, 33, 15, 40, 7, 7, 6, 8, 3, 13, 20, 12, 2, 4, 9, 61, 31, 8, 9, 8, 5, 10, 19, 20, 5, 12, 16, 9, 7, 7, 16, 38, 10, 13, 40, 6, 7, 76, 34, 65, 7, 1, 3, 13, 8, 13, 6, 2, 4, 40, 41, 27, 8, 15, 17, 17, 3, 5, 4, 2, 37, 1, 6, 7, 3, 26, 8, 66, 17, 16, 17, 8, 9, 8, 8, 17, 15, 35, 36, 46, 43, 16, 4, 44, 14, 10, 24, 5, 19, 12, 10, 54, 14, 68, 4, 1, 7, 35, 3, 55, 12, 53, 18, 10, 21, 39, 18, 1, 4, 68, 2, 8, 4, 75, 10, 10, 10, 3, 8, 13, 5, 5, 19, 17, 11, 13, 1, 24, 35, 37, 12, 16, 41, 25, 20, 35, 3, 125, 34, 26, 40, 12, 21, 10, 1, 19, 20, 17, 42, 12, 18, 39, 11, 11, 10, 19, 43, 8, 3, 4, 13, 13, 47, 5, 15, 34, 4, 14, 3, 1, 13, 75, 41, 11, 14, 4, 1, 10, 8, 25, 16, 2, 2, 15, 38, 15, 28, 5, 38, 12, 17, 13, 2, 5, 11, 87, 4, 27, 11, 5, 26, 10, 9, 3, 18, 24, 6, 2, 15, 12, 1, 3, 12, 25, 11, 26, 3, 19, 9, 11, 4, 9, 20, 6, 21, 21, 7, 3, 9, 11, 34, 7, 13, 47, 3, 23, 7, 77, 106, 23, 66, 4, 31, 26, 3, 47, 94, 16, 26, 29, 2, 7, 10, 7, 18, 7, 2, 16, 1, 9, 19, 7, 9, 21, 1, 17, 12, 29]"
02,125,12,190,0,9313至10073(118期),386,"[12, 16, 8, 10, 4, 27, 41, 1, 7, 9, 41, 11, 17, 7, 4, 33, 33, 2, 4, 31, 46, 13, 5, 38, 1, 15, 8, 1, 3, 24, 19, 76, 83, 6, 41, 42, 7, 9, 1, 13, 30, 1, 35, 47, 56, 1, 12, 7, 30, 20, 10, 25, 9, 29, 2, 1, 3, 18, 4, 14, 64, 7, 10, 8, 16, 17, 32, 19, 20, 1, 24, 7, 18, 30, 3, 31, 9, 12, 9, 1, 20, 13, 2, 20, 4, 19, 7, 11, 1, 13, 10, 11, 8, 22, 1, 9, 15, 13, 8, 41, 7, 21, 18, 21, 2, 9, 118, 11, 3, 47, 1, 25, 7, 12, 11, 11, 47, 21, 5, 47, 41, 13, 25, 114, 41, 15, 4, 125, 1, 9, 8, 4, 12, 14, 32, 19, 10, 7, 14, 7, 26, 40, 24, 28, 18, 43, 2, 9, 2, 10, 7, 4, 2, 1, 5, 7, 17, 25, 31, 65, 7, 2, 43, 19, 5, 6, 26, 12, 2, 4, 7, 24, 15, 27, 1, 10, 24, 11, 10, 32, 24, 28, 1, 12, 32, 26, 13, 28, 6, 13, 12, 41, 7, 34, 1, 12, 3, 59, 33, 24, 17, 44, 11, 6, 2, 6, 32, 22, 7, 9, 15, 40, 7, 3, 33, 11, 28, 4, 4, 11, 67, 29, 22, 26, 24, 31, 1, 11, 23, 11, 23, 18, 5, 44, 19, 13, 34, 69, 52, 40, 4, 2, 10, 43, 33, 22, 26, 31, 26, 8, 56, 12, 33, 5, 2, 63, 44, 37, 32, 6, 11, 25, 7, 6, 20, 6, 73, 18, 17, 4, 2, 36, 1, 6, 9, 5, 16, 10, 1, 2, 33, 4, 40, 70, 14, 81, 9, 2, 3, 8, 10, 3, 11, 22, 20, 36, 18, 36, 24, 9, 2, 35, 49, 31, 10, 12, 45, 4, 16, 32, 1, 9, 15, 6, 4, 8, 29, 32, 5, 32, 17, 14, 20, 4, 60, 3, 36, 5, 40, 6, 35, 10, 18, 14, 18, 9, 8, 5, 9, 20, 3, 4, 16, 25, 114, 21, 19, 4, 12, 77, 23, 33, 9, 10, 1, 23, 28, 14, 6, 12, 4, 31, 17, 28, 5, 11, 4, 43, 25, 5, 8, 65]"
27,124,61,19,0,18052至18152(100期),382,"[9, 59, 24, 31, 15, 20, 21, 8, 7, 12, 44, 9, 16, 23, 3, 39, 8, 2, 8, 12, 2, 90, 11, 42, 36, 5, 18, 2, 5, 4, 2, 11, 4, 30, 8, 8, 13, 4, 3, 6, 29, 60, 7, 5, 48, 4, 60, 44, 48, 15, 40, 7, 51, 14, 39, 54, 13, 14, 63, 24, 4, 8, 1, 21, 75, 9, 7, 65, 11, 3, 77, 5, 74, 18, 23, 5, 17, 5, 10, 4, 52, 16, 50, 10, 9, 124, 7, 39, 2, 26, 71, 35, 1, 21, 42, 7, 60, 5, 43, 35, 24, 1, 7, 32, 1, 33, 4, 5, 22, 32, 7, 1, 11, 10, 39, 1, 15, 77, 3, 29, 1, 1, 18, 19, 4, 17, 1, 4, 25, 2, 1, 60, 6, 15, 1, 47, 26, 10, 28, 7, 13, 23, 50, 1, 13, 12, 72, 34, 7, 10, 27, 11, 3, 13, 47, 98, 14, 19, 30, 15, 6, 16, 9, 13, 16, 1, 10, 3, 14, 19, 7, 40, 19, 4, 1, 3, 74, 13, 9, 20, 3, 14, 10, 6, 2, 16, 10, 12, 9, 77, 3, 1, 36, 36, 59, 1, 10, 17, 13, 16, 1, 16, 3, 64, 18, 20, 13, 95, 2, 6, 4, 2, 1, 25, 9, 13, 8, 8, 29, 3, 39, 13, 26, 1, 3, 29, 81, 100, 32, 1, 46, 10, 5, 26, 13, 19, 5, 13, 18, 13, 4, 3, 19, 31, 14, 11, 33, 24, 43, 14, 6, 71, 28, 15, 12, 21, 17, 3, 4, 16, 4, 23, 35, 15, 7, 8, 8, 8, 20, 16, 7, 2, 1, 53, 4, 10, 43, 58, 2, 15, 15, 29, 6, 14, 14, 26, 19, 7, 4, 70, 40, 12, 13, 13, 8, 2, 12, 13, 2, 18, 8, 9, 31, 51, 2, 6, 40, 5, 29, 9, 1, 24, 3, 19, 42, 42, 19, 29, 39, 7, 3, 30, 26, 55, 7, 7, 3, 1, 39, 51, 4, 5, 25, 18, 14, 11, 3, 29, 2, 11, 16, 6, 4, 2, 8, 9, 7, 4, 6, 2, 11, 45, 5, 19, 11, 5, 24, 10, 14, 52, 25, 36, 4, 11]"
56,124,18,138,0,18067至18179(112期),403,"[28, 10, 19, 55, 13, 3, 8, 16, 13, 32, 7, 19, 3, 8, 11, 7, 10, 35, 2, 6, 3, 13, 1, 1, 8, 39, 12, 4, 18, 2, 11, 1, 82, 46, 4, 14, 10, 10, 18, 11, 8, 3, 2, 18, 12, 2, 16, 15, 9, 56, 4, 11, 9, 6, 80, 1, 31, 22, 58, 13, 1, 31, 18, 8, 3, 9, 5, 4, 15, 49, 9, 9, 7, 24, 31, 1, 29, 2, 22, 9, 9, 28, 59, 24, 4, 26, 23, 14, 27, 61, 6, 19, 13, 30, 43, 14, 5, 61, 6, 10, 7, 1, 1, 78, 57, 2, 40, 29, 3, 25, 20, 12, 20, 31, 19, 76, 25, 17, 3, 49, 2, 7, 16, 15, 5, 4, 32, 18, 6, 1, 2, 2, 46, 1, 11, 64, 35, 3, 9, 1, 20, 13, 9, 4, 64, 2, 5, 2, 9, 2, 23, 27, 37, 17, 13, 12, 17, 38, 14, 38, 6, 5, 3, 16, 12, 5, 5, 3, 12, 9, 12, 15, 41, 7, 6, 38, 21, 52, 4, 5, 26, 22, 18, 17, 7, 24, 28, 3, 50, 11, 100, 11, 4, 5, 7, 13, 10, 32, 15, 51, 5, 5, 8, 10, 46, 14, 4, 5, 17, 53, 4, 24, 34, 2, 6, 4, 3, 3, 15, 15, 2, 33, 10, 3, 1, 2, 20, 10, 13, 27, 19, 1, 14, 33, 28, 10, 3, 9, 8, 4, 22, 3, 13, 50, 13, 40, 3, 10, 10, 13, 12, 10, 44, 4, 30, 1, 87, 37, 43, 15, 6, 13, 42, 4, 43, 8, 7, 5, 112, 53, 3, 5, 26, 2, 7, 4, 6, 44, 46, 3, 15, 27, 49, 22, 5, 26, 2, 24, 30, 61, 29, 4, 8, 29, 19, 13, 5, 2, 2, 17, 10, 7, 13, 42, 27, 1, 3, 4, 8, 18, 4, 1, 41, 10, 23, 16, 54, 21, 21, 10, 4, 36, 4, 1, 19, 2, 5, 30, 33, 1, 61, 2, 13, 26, 41, 19, 9, 6, 1, 18, 5, 22, 3, 13, 7, 24, 16, 25, 43, 6, 16, 42, 20, 35, 52, 4, 75, 33, 63, 13, 29, 4, 54, 2, 13, 10, 24, 14, 6, 124, 3, 12, 8, 41, 9, 21, 27, 1, 1, 25, 57, 40, 12, 2, 35, 12]"
